fid,TIPO,FECHA,POINT_X,POINT_Y,ELEV_TERR,DEUT_2H,OXIG_18,Month,CooX,CooY,Lon,Lat,PROF_MAX,P/GW,O18,2H,,,
112,Manantial,1/01/1999,1007930,1022420,3137,-69.05,-10.3,1,610225.1327,530519.7841,-74.0060226,4.798942653,0.1,0.759609,-7.82397127,-52.66571045,,,
113,Manantial,10/31/2017,1007930,1022420,3137,-69.05,-10.3,10,610225.1327,530519.7841,-74.0060226,4.798942653,0.1,0.759609,-7.82397127,-52.66571045,,,
115,Manantial,1/01/1999,991375,1032650,3021,-71.35,-10.275,1,593660.7312,540724.4893,-74.1552689,4.891452252,0.1,0.764876,-7.85909986,-53.15644836,,,
118,Manantial,1/01/1999,990700,1047810,3359,-62.1,-9.305,1,592964.831,555879.09,-74.16137184,5.028543491,0.1,0.772552,-7.18860006,-50.18803406,,,
120,Manantial,1/01/1999,986120,1041000,3033,-67.75,-9.865,1,588395.7585,549064.7164,-74.20266083,4.966954149,0.1,0.782691,-7.72125006,-53.79669189,,,
121,Manantial,10/31/2017,986120,1041000,3033,-67.75,-9.865,10,588395.7585,549064.7164,-74.20266083,4.966954149,0.1,0.782691,-7.72125006,-53.79669189,,,
127,Manantial,1/01/1999,977920,1029390,2728,-70.35,-10.4,1,580214.3672,537447.0893,-74.27656702,4.861947063,0.1,0.797532,-8.29433060,-55.29022598,,,
132,Manantial,1/01/1999,991200,1048250,3416,-63.5,-9.57,1,593464.0627,556319.6662,-74.15686351,5.03252297,0.1,0.802419,-7.67915010,-57.54067612,,,
148,Manantial,1/01/1999,995490,1025470,2751,-66.85,-10.355,1,597784.3356,533552.1682,-74.11816514,4.826526498,0.1,0.826199,-8.55529308,-60.63032913,,,
149,Manantial,10/31/2017,995490,1025470,2751,-69.85,-10.355,10,597784.3356,533552.1682,-74.11816514,4.826526498,0.1,0.826199,-8.55529308,-60.63032913,,,
204,Manantial,1/01/1999,983000,1033150,2719,-63.3,-9.015,1,585287.5896,541212.8372,-74.23077684,4.895960733,0.1,0.87733,-7.90913057,-50.75102615,,,
205,Manantial,10/31/2017,983000,1033150,2719,-63.3,-9.015,10,585287.5896,541212.8372,-74.23077684,4.895960733,0.1,0.87733,-7.90913057,-50.75102615,,,
210,Manantial,1/01/1999,1007770,1042540,2691,-73.2,-10.515,1,610037.5635,550634.5028,-74.00744602,4.980888527,0.1,0.884473,-9.30023479,-64.66546631,,,
211,Manantial,10/31/2017,1007770,1042540,2691,-73.2,-10.515,10,610037.5635,550634.5028,-74.00744602,4.980888527,0.1,0.884473,-9.30023479,-64.66546631,,,
225,Manantial,1/01/1999,1007770,1042540,2691,-72.25,-10.235,1,610037.5635,550634.5028,-74.00744602,4.980888527,0.1,0.90867,-9.30023479,-64.66546631,,,
236,Manantial,1/01/1998,996870,1036320,2627,-69.8,-9.98,1,599149.1033,544401.0063,-74.10572867,4.924644087,0.1,0.911897,-9.10073471,-62.40465546,,,
237,Manantial,10/31/2017,996870,1036320,2627,-69.8,-9.98,10,599149.1033,544401.0063,-74.10572867,4.924644087,0.1,0.911897,-9.10073471,-62.40465546,,,
274,Manantial,1/01/1999,986700,1032640,2639,-68.25,-9.5,1,588987.1436,540708.0758,-74.19741755,4.891355604,0.1,0.991394,-9.41824150,-63.63973236,,,
281,Manantial,1/01/1999,1007130,1018350,2799.014755,-51.1,-7.75,1,609430.7949,526449.7376,-74.01323766,4.762138123,0.1,1.018552,-7.89378023,-58.33924866,,,
285,Manantial,1/01/1999,981880,1033900,2749,-50.55,-7.99,1,584166.9124,541961.0606,-74.24087618,4.902740591,0.1,1.031068,-8.23823071,-53.26311111,,,
297,Manantial,1/01/1999,995465,1023740,2817,-47.8,-7.055,1,597761.682,531822.6237,-74.11838958,4.810882005,0.1,1.117085,-7.88103199,-53.52320099,,,
11,Pozo somero,1/01/2001,979426,1015408,2571,-74.16,-11.29,1,581738.7043,523471.6665,-74.26295581,4.735511549,50.00000,0.571939,-6.45719147,-39.75224304,,,
43,Pozo somero,11/08/2010,1005435,1018617,2561.495726,-67.1,-9.88,11,607735.871,526714.4036,-74.02851632,4.764553879,50.00000,0.642212,-6.34505033,-38.56540298,,,
88,Pozo somero,11/16/2010,1005911,1010589,2669.759199,-68.4,-10.1,11,608222.4015,518689.0981,-74.02423116,4.691955764,50.00000,0.723521,-7.30756617,-52.26533127,,,
94,Pozo somero,1/01/2001,998100,1025500,2582,-41.79,-11.48,1,600393.5655,533585.695,-74.09463625,4.826798791,50.00000,0.737869,-8.47073555,-59.53157806,,,
102,Pozo somero,1/01/2001,1001340,1020545,2560.130953,-63.66,-10.97,1,603639.3644,528636.4115,-74.06542873,4.781990549,50.00000,0.749403,-8.22095490,-52.82256699,,,
142,Pozo somero,11/17/2010,998248,1004744,2549.958795,-60.2,-9.16,11,600569.0932,512835.6192,-74.09329778,4.639100736,50.00000,0.818987,-7.50192165,-48.30513000,,,
176,Pozo somero,1/01/1998,998100,1026280,2584,-70.9,-9.98,1,600392.5082,534365.4795,-74.09463642,4.83385237,50.00000,0.848771,-8.47073555,-60.83000183,,,
17,Pozo profundo,11/17/2010,997618,1010433,2551.666017,-68.1,-10,11,599931.8197,518522.2214,-74.09897721,4.690546745,100,0.598996,-5.98996067,-37.21989441,,,
96,Pozo profundo,1/01/1998,993450,1022130,2880,-72,-10.61,1,595749.4274,530210.3671,-74.13655294,4.796321357,100,0.742793,-7.88103199,-53.45831680,,,
97,Pozo profundo,10/31/2017,993450,1022130,2880,-72,-10.61,10,595749.4274,530210.3671,-74.13655294,4.796321357,100,0.742793,-7.88103199,-53.45831680,,,
145,Pozo profundo,1/01/2001,1023930,1054700,2605,-66.14,-10.67,1,626176.6394,562814.525,-73.86169592,5.090818913,100,0.822093,-8.77173615,-58.06475067,,,
161,Pozo profundo,1/01/1998,1042680,1059900,2657,-68.7,-9.32,1,644915.6634,568040.4621,-73.69257354,5.137762434,100,0.8329,-7.76263046,-47.51732635,,,
162,Pozo profundo,10/31/2017,1042680,1059900,2657,-68.7,-9.32,10,644915.6634,568040.4621,-73.69257354,5.137762434,100,0.8329,-7.76263046,-47.51732635,,,
187,Pozo profundo,1/01/1998,990923,1029930,2603,-77.4,-10.91,1,593212.5879,538004.6697,-74.15934105,4.866854729,1000,0.863588,-9.42174149,-63.63973236,,,
188,Pozo profundo,10/31/2017,990923,1029930,2603,-77.4,-10.91,10,593212.5879,538004.6697,-74.15934105,4.866854729,1000,0.863588,-9.42174149,-63.63973236,,,
61,Pozo profundo,11/03/2010,1005754,1016638,2566.807405,-63.8,-9.17,11,608057.4301,524736.3383,-74.02564216,4.746657439,101,0.67576,-6.19671583,-37.50699234,,,
255,Pozo profundo,1/01/1998,1015630,1031500,2653,-70.6,-9.95,1,617910.9392,539608.0493,-73.93659376,4.881042485,103,0.946557,-9.41824150,-63.46318817,,,
256,Pozo profundo,10/31/2017,1015630,1031500,2653,-70.6,-9.95,10,617910.9392,539608.0493,-73.93659376,4.881042485,103,0.946557,-9.41824150,-63.46318817,,,
238,Pozo profundo,1/01/1998,1017100,1041800,2595,-73.6,-10.22,1,619366.3576,549907.7126,-73.92331936,4.974182388,104,0.912191,-9.32259178,-64.66546631,,,
239,Pozo profundo,10/31/2017,1017100,1041800,2595,-73.6,-10.22,10,619366.3576,549907.7126,-73.92331936,4.974182388,104,0.912191,-9.32259178,-64.66546631,,,
340,Pozo profundo,11/05/2010,992599,999835,2554.17625,-71.6,-10.15,11,594928.0516,507920.6881,-74.14420513,4.594705183,106,1.296118,-13.15559387,-94.86664581,,,
101,Pozo profundo,11/08/2010,1002771,1020707,2555.037972,-61.8,-9.04,11,605069.7661,528800.289,-74.05252918,4.783455176,110,0.746402,-6.74747562,-42.10700226,,,
183,Pozo profundo,1/01/2001,1013250,1034560,2582,-70.03,-11,1,615527.2948,542664.0612,-73.95804599,4.908718268,112,0.853858,-9.39244175,-66.65888977,,,
190,Pozo profundo,1/01/1998,1000600,1024420,2555.288177,-70.1,-9.77,1,602894.3443,532509.3727,-74.07209905,4.817032488,113,0.867015,-8.47073555,-58.81492233,,,
191,Pozo profundo,10/31/2017,1000600,1024420,2555.288177,-70.1,-9.77,10,602894.3443,532509.3727,-74.07209905,4.817032488,113,0.867015,-8.47073555,-58.81492233,,,
217,Pozo profundo,1/01/1999,1000600,1024420,2555.288177,-67,-9.48,1,602894.3443,532509.3727,-74.07209905,4.817032488,113,0.893538,-8.47073555,-58.81492233,,,
26,Pozo profundo,1/01/2001,991190,1010320,2546.259527,-43.13,-10.95,1,593505.8034,518400.7932,-74.15691352,4.689520693,115,0.612836,-6.71055126,-44.50134659,,,
280,Pozo profundo,11/04/2010,998017,998654,2574.32447,-71.1,-10.53,11,600346.0389,506747.0009,-74.09537829,4.584028163,115,1.015598,-10.69425011,-72.25268555,,,
308,Pozo profundo,11/03/2010,994379,998425,2563.342751,-76.5,-10.83,11,596709.3551,506513.3859,-74.12816302,4.581955718,115,1.160766,-12.57110023,-90.43601227,,,
14,Pozo profundo,1/01/1999,991670,1017840,2571,-75.1,-10.94,1,593975.6947,525919.2259,-74.15259454,4.757525066,116,0.590237,-6.45719147,-39.75224304,,,
35,Pozo profundo,1/01/1998,991670,1017940,2574,-72.4,-10.26,1,593975.5612,526019.1967,-74.15259464,4.758429372,118,0.629356,-6.45719147,-39.75224304,,,
37,Pozo profundo,10/31/2017,991670,1017940,2574,-72.4,-10.26,10,593975.5612,526019.1967,-74.15259464,4.758429372,118,0.629356,-6.45719147,-39.75224304,,,
220,Pozo profundo,1/01/1998,1001030,1024820,2555.801175,-65.5,-9.42,1,603323.6875,532909.8465,-74.06822264,4.820649668,118,0.899229,-8.47073555,-58.81492233,,,
221,Pozo profundo,10/31/2017,1001030,1024820,2555.801175,-65.5,-9.42,10,603323.6875,532909.8465,-74.06822264,4.820649668,118,0.899229,-8.47073555,-58.81492233,,,
177,Pozo profundo,1/01/1998,1003110,1022150,2552.71296,-64.1,-9.67,1,605406.7369,530243.3639,-74.04947279,4.796504194,119.4,0.849958,-8.21909332,-55.46171570,,,
186,Pozo profundo,10/31/2017,1003110,1022150,2552.71296,-64.1,-9.57,10,605406.7369,530243.3639,-74.04947279,4.796504194,119.4,0.858839,-8.21909332,-55.46171570,,,
3,Pozo profundo,1/01/2001,996735,1010576,2550.549776,-54.54,-11.55,1,599048.8773,518664.019,-74.10693586,4.691839616,120,0.518611,-5.98996067,-37.21989441,,,
309,Pozo profundo,11/05/2010,991790,999764,2552.51195,-73.8,-10.5,11,594119.3786,507848.6657,-74.15149571,4.594062403,120,1.16745,-12.25822926,-87.26712036,,,
327,Pozo profundo,11/04/2010,989946,1000513,2557.876444,-75.6,-10.63,11,592274.955,508595.066,-74.16811451,4.600833766,120,1.233814,-13.11544323,-94.60847473,,,
42,Pozo profundo,1/01/1999,989170,1019540,2578,-74.3,-10.6,1,591474.1604,527615.3804,-74.17513169,4.772895433,121.5,0.636554,-6.74747562,-42.10700226,,,
79,Pozo profundo,11/16/2010,1004516,1012397,2556.638591,-62.6,-9.38,11,606825.3767,520494.7913,-74.03680356,4.708306504,122,0.714448,-6.70152426,-39.25138474,,,
